dataset,operation,2xx_code,4xx_code,operation_id,method,path,normalized_operation
GitLabProject,POST /projects/{id}/star,201,400,,POST,/projects/{id}/star,post_projects_id_star
GitLabProject,POST /projects/{id}/unstar,201,400,,POST,/projects/{id}/unstar,post_projects_id_unstar
GitLabProject,GET /projects/{id}/starrers,200,400,,GET,/projects/{id}/starrers,get_projects_id_starrers
GitLabProject,GET /projects/{id}/languages,200,400,,GET,/projects/{id}/languages,get_projects_id_languages
GitLabProject,POST /projects/{id}/archive,201,400,,POST,/projects/{id}/archive,post_projects_id_archive
GitLabProject,POST /projects/{id}/unarchive,201,400,,POST,/projects/{id}/unarchive,post_projects_id_unarchive
GitLabProject,POST /projects/{id}/restore,201,400,,POST,/projects/{id}/restore,post_projects_id_restore
GitLabProject,POST /projects/{id}/uploads,201,400,,POST,/projects/{id}/uploads,post_projects_id_uploads
GitLabProject,POST /projects/{id}/share,201,400,,POST,/projects/{id}/share,post_projects_id_share
GitLabProject,DELETE /projects/{id}/share/{group_id},204,400,,DELETE,/projects/{id}/share/{group_id},delete_projects_id_share_group_id
GitLabProject,GET /projects/{id}/hooks,200,400,,GET,/projects/{id}/hooks,get_projects_id_hooks
GitLabProject,POST /projects/{id}/hooks,201,400,,POST,/projects/{id}/hooks,post_projects_id_hooks
GitLabProject,GET /projects/{id}/hooks/{hook_id},200,400,,GET,/projects/{id}/hooks/{hook_id},get_projects_id_hooks_hook_id
GitLabProject,PUT /projects/{id}/hooks/{hook_id},200,400,,PUT,/projects/{id}/hooks/{hook_id},put_projects_id_hooks_hook_id
GitLabProject,DELETE /projects/{id}/hooks/{hook_id},200,400,,DELETE,/projects/{id}/hooks/{hook_id},delete_projects_id_hooks_hook_id
GitLabProject,POST /projects/{id}/housekeeping,201,400,,POST,/projects/{id}/housekeeping,post_projects_id_housekeeping
GitLabProject,PUT /projects/{id}/transfer,200,400,,PUT,/projects/{id}/transfer,put_projects_id_transfer
GitLabProject,POST /projects/{id}/fork/{forked_from_id},201,400,,POST,/projects/{id}/fork/{forked_from_id},post_projects_id_fork_forked_from_id
GitLabProject,GET /projects/{id}/snapshot,200,400,,GET,/projects/{id}/snapshot,get_projects_id_snapshot
GitLabProject,GET /users/{user_id}/projects,200,400,,GET,/users/{user_id}/projects,get_users_user_id_projects
GitLabProject,GET /users/{user_id}/starred_projects,200,400,,GET,/users/{user_id}/starred_projects,get_users_user_id_starred_projects
GitLabRepository,GET /projects,200,400,,GET,/projects,get_projects
GitLabRepository,POST /projects,201,400,,POST,/projects,post_projects
GitLabRepository,GET /projects/{id}/repository/tree,200,400,,GET,/projects/{id}/repository/tree,get_projects_id_repository_tree
GitLabRepository,GET /projects/{id}/repository/blobs/{sha},200,,,GET,/projects/{id}/repository/blobs/{sha},get_projects_id_repository_blobs_sha
GitLabRepository,GET /projects/{id}/repository/blobs/{sha}/raw,200,,,GET,/projects/{id}/repository/blobs/{sha}/raw,get_projects_id_repository_blobs_sha_raw
GitLabRepository,GET /projects/{id}/repository/archive,200,,,GET,/projects/{id}/repository/archive,get_projects_id_repository_archive
GitLabRepository,GET /projects/{id}/repository/compare,200,,,GET,/projects/{id}/repository/compare,get_projects_id_repository_compare
GitLabRepository,GET /projects/{id}/repository/contributors,200,,,GET,/projects/{id}/repository/contributors,get_projects_id_repository_contributors
GitLabRepository,GET /projects/{id}/repository/merge_base,200,,,GET,/projects/{id}/repository/merge_base,get_projects_id_repository_merge_base
GitLabRepository,GET /projects/{id}/repository/changelog,200,,,GET,/projects/{id}/repository/changelog,get_projects_id_repository_changelog
jhipster-sample-app,getOperation,200,,getOperation,GET,/api/operations/{id},getoperation
jhipster-sample-app,updateOperation,200,,updateOperation,PUT,/api/operations/{id},updateoperation
jhipster-sample-app,deleteOperation,200,,deleteOperation,DELETE,/api/operations/{id},deleteoperation
jhipster-sample-app,partialUpdateOperation,200,,partialUpdateOperation,PATCH,/api/operations/{id},partialupdateoperation
jhipster-sample-app,getLabel,200,,getLabel,GET,/api/labels/{id},getlabel
jhipster-sample-app,updateLabel,200,,updateLabel,PUT,/api/labels/{id},updatelabel
jhipster-sample-app,deleteLabel,200,,deleteLabel,DELETE,/api/labels/{id},deletelabel
jhipster-sample-app,partialUpdateLabel,200,,partialUpdateLabel,PATCH,/api/labels/{id},partialupdatelabel
jhipster-sample-app,getBankAccount,200,,getBankAccount,GET,/api/bank-accounts/{id},getbankaccount
jhipster-sample-app,updateBankAccount,200,,updateBankAccount,PUT,/api/bank-accounts/{id},updatebankaccount
jhipster-sample-app,deleteBankAccount,200,,deleteBankAccount,DELETE,/api/bank-accounts/{id},deletebankaccount
jhipster-sample-app,partialUpdateBankAccount,200,,partialUpdateBankAccount,PATCH,/api/bank-accounts/{id},partialupdatebankaccount
jhipster-sample-app,getUser,200,,getUser,GET,/api/admin/users/{login},getuser
jhipster-sample-app,updateUser,200,,updateUser,PUT,/api/admin/users/{login},updateuser
jhipster-sample-app,deleteUser,200,,deleteUser,DELETE,/api/admin/users/{login},deleteuser
jhipster-sample-app,getAllUsers,200,,getAllUsers,GET,/api/admin/users,getallusers
jhipster-sample-app,updateUser_1,200,,updateUser_1,PUT,/api/admin/users,updateuser_1
jhipster-sample-app,createUser,200,,createUser,POST,/api/admin/users,createuser
jhipster-sample-app,registerAccount,201,,registerAccount,POST,/api/register,registeraccount
jhipster-sample-app,getAllOperations,200,,getAllOperations,GET,/api/operations,getalloperations
jhipster-sample-app,createOperation,200,,createOperation,POST,/api/operations,createoperation
jhipster-sample-app,getAllLabels,200,,getAllLabels,GET,/api/labels,getalllabels
jhipster-sample-app,createLabel,200,,createLabel,POST,/api/labels,createlabel
jhipster-sample-app,getAllBankAccounts,200,,getAllBankAccounts,GET,/api/bank-accounts,getallbankaccounts
jhipster-sample-app,createBankAccount,200,,createBankAccount,POST,/api/bank-accounts,createbankaccount
jhipster-sample-app,getAllAuthorities,200,,getAllAuthorities,GET,/api/authorities,getallauthorities
